stop_id,stop_name,stop_lat,stop_lon
1,Stazione Merano - Bhf Meran,46.672778,11.149722
100,Via Weingartner - Weingartnerstr.,46.679167,11.126667
1000,Autostazione - Busbahnhof,46.495833,11.356111
101,- Lackner,46.677222,11.146111
10849,Stazione Terlano - Bhf Terlan,46.528333,11.249167
1090,Ponte Palermo - Palermo Brücke,46.483889,11.331944
1091,IVECO,46.479722,11.330000
1092,Cimitero Nord - Friedhof Nord,46.475278,11.337222
1093,Cimitero Nord - Friedhof Nord,46.475556,11.337500
1094,Via Loris Musy - Loris Musy Str.,46.467778,11.334167
1095,Via Loris Musy - Loris Musy Str.,46.467500,11.334167
1096,Via Max Valier - Max Valier Str.,46.462778,11.333056
1097,Via Max Valier - Max Valier Str.,46.462222,11.333333
1098,Centro - Zentrum,46.460000,11.332778
1099,Centro - Zentrum,46.460556,11.333056
1100,Via Pascoli - Pascoli Str.,46.452500,11.335278
1101,Via Pascoli - Pascoli Str.,46.452778,11.335278
1102,Pineta - Steinmannwald,46.438056,11.344722
1103,Pineta - Steinmannwald,46.437222,11.345278
1104,- Camping,46.429444,11.344167
1105,- Camping,46.429167,11.343056
1106,Centro - Zentrum,46.427222,11.337500
1107,Centro - Zentrum,46.426667,11.336667
1108,Posta - Post,46.423333,11.333056
1109,Posta - Post,46.423056,11.333056
1110,Caserma - Kaserne,46.417778,11.332222
1111,Caserma - Kaserne,46.418056,11.332222
1112,via A. Meucci - A. Meucci Str.,46.413333,11.328333
1113,via A. Meucci - A. Meucci Str.,46.413333,11.328056
1114,via Nobel - Nobel Str.,46.415556,11.328333
1116,- Raif,46.402778,11.321667
1117,- Raif,46.403056,11.322500
1211,Municipio - Rathaus,46.519444,11.233056
1212,Municipio - Rathaus,46.520000,11.232500
1213,Lido di Andriano - Andrian Schwimmbad,46.521667,11.229167
1214,Lido di Andriano - Andrian Schwimmbad,46.521944,11.227500
1215,Fontanefredde - Kaltenbrunn,46.535833,11.207778
1216,Fontanefredde - Kaltenbrunn,46.535556,11.208056
1217,- Huben,46.538889,11.205833
1218,- Huben,46.538611,11.206111
1219,Piazza Municipio - Rathausplatz,46.542778,11.202778
1220,Piazza Municipio - Rathausplatz,46.542500,11.202778
1221,Piazza Fontana - Brunnenplatz,46.540556,11.204167
1222,Piazza Fontana - Brunnenplatz,46.540278,11.204167
1223,Stazione Vilpiano Nalles - Bhf Vilipian,46.553889,11.220556
1236,Cimitero di Cardano - Friedhof Kardaun,46.492500,11.394167
1237,Cimitero di Cardano - Friedhof Kardaun,46.492500,11.394444
1238,- Moar,46.488889,11.407222
1239,- Moar,46.488889,11.406944
1340,Via Torricelli - Torricelli Str.,46.480278,11.326944
1341,Via Torricelli - Torricelli Str.,46.480278,11.327222
1342,- Öbersthöfe,46.725833,11.173889
1343,Bivio Gaveis - Abzw. Gfeis,46.720556,11.172778
1344,Bivio Gaveis - Abzw. Gfeis,46.720556,11.172778
1347,Castello di Cornedo - Schloss Karneid,46.489444,11.401389
1348,- Camping,46.567778,11.221389
1349,- Camping,46.567500,11.221667
1351,Zona produttiva Giessen - Gewerbezone Gi,46.552778,11.213056
1352,Zona produttiva Giessen - Gewerbezone Gi,46.552500,11.213333
